 -10.00   1.80   1.60  28.90  12.30
  -9.75   1.80   1.60  28.60  12.30
  -9.50   1.80   1.60  28.30  12.30
  -9.25   1.80   1.60  28.00  12.30
  -9.00   1.80   1.60  27.70  12.30
  -8.75   1.80   1.60  27.40  12.30
  -8.50   1.80   1.60  27.10  12.30
  -8.25   1.80   1.60  26.80  12.30
  -8.00   1.80   1.60  26.40  12.30
  -7.75   1.80   1.60  26.00  12.30
  -7.50   1.80   1.60  25.50  12.30
  -7.25   1.80   1.60  25.00  12.30
  -7.00   1.80   1.60  24.50  12.30
  -6.75   1.80   1.60  24.10  12.30
  -6.50   1.80   1.60  23.60  12.30
  -6.25   1.80   1.60  23.20  12.30
  -6.00   1.80   1.60  22.70  12.30
  -5.75   1.80   1.60  22.30  12.30
  -5.50   1.80   1.60  21.80  12.30
  -5.25   1.80   1.60  21.40  12.30
  -5.00   1.80   1.60  20.90  12.30
  -4.75   1.80   1.60  20.40  12.20
  -4.50   1.80   1.60  19.80  11.90
  -4.25   1.80   1.60  19.20  11.70
  -4.00   1.80   1.60  18.60  11.40
  -3.75   1.80   1.60  18.00  11.20
  -3.50   1.80   1.60  17.40  11.00
  -3.25   1.80   1.60  16.80  10.70
  -3.00   1.80   1.60  16.10  10.50
  -2.75   1.75   1.60  15.50  10.20
  -2.50   1.70   1.60  14.80   9.80
  -2.25   1.65   1.60  14.10   9.50
  -2.00   1.60   1.60  13.40   9.10
  -1.75   1.55   1.55  12.60   8.70
  -1.50   1.50   1.55  11.80   8.20
  -1.25   1.45   1.45  10.90   7.80
  -1.00   1.40   1.40  10.00   7.30
  -0.75   1.35   1.35   8.60   6.60
  -0.50   1.25   1.25   7.30   5.90
  -0.25   1.14   1.14   5.45   4.55
   0.00   0.91   0.91   2.95   2.95
   0.25   0.20   0.20   0.45   0.45
   0.50   0.20   0.20   0.45   0.45
   0.75   0.20   0.20   0.45   0.45
   1.00   0.20   0.20   0.45   0.45
   1.25   0.20   0.20   0.45   0.45
   1.50   0.20   0.20   0.45   0.45
   1.75   0.20   0.20   0.45   0.45
   2.00   0.20   0.20   0.45   0.45
 
